"id","provider_name","street_address","city","county","state","zipcode","phone_number","service_type"
"70","Options HME, Inc.","25 Shannon Ct","Highland","Madison","IL","62249","(618) 310-0086","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"71","Jacob Family Enterprises","9723 W State Route 161,","Fairview Heights","St. Clair","IL","62208","(618) 397-4391","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"72","First Fence Inc","10 N Elm St","Hillside","Cook","IL","60162","(708) 547-7555","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"73","Bettenhausen Motor Sales","17514 Oak Park Ave","Tinley Park","Cook","IL","60477","(708) 532-9600","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"74","All Ability Cycles, LLC","208 E Lincolnway","Jefferson","","IA","50129","(515) 386-8900","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"75","Midwest Transit Equipment","146 W Issert Dr","Kankakee","Kankakee","IL","60901","(815) 933-2412","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"76","Popejoy Plumbing Heating and Electric, Inc.","203 S 10th St","FAIRBURY","Livingston","IL","61739","(815) 692-4471","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"77","Home Envy","4445 Commerce St,.","Evansville","","IN","47710","(812) 568-0700","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"78","Trinity Windows","316 E Broadway St","Littleton","McDonough","IL","61452","(319) 201-0283","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"79","101 Mobility - Elgin","2531 Technology Dr Ste 305","Elgin","Kane","IL","60124","(847) 551-5911","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"80","Stan Smith Construction","10252 N 330th St","Casey","Clark","IL","62420","(217) 232-5731","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"81","KJ Quality Remodelers INC","318 Summit Ct","Schaumburg","Cook","IL","60193","(630) 890-4291","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"82","New Leaf Remodeling","6551 E Riverside Blvd","Rockford","Winnebago","IL","61114","(815) 262-6810","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"83","Liebhart Construction Inc.","1301 Canal St","Ottawa","LaSalle","IL","61350","(815) 433-5467","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"84","Green Evans Management","61 S Orchard Dr.","Park Forest,","Cook","IL","60466","(708) 971-5095","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"85","Rollx Vans","6591 Highway 13 W","Savage","","MN","55378","(800) 956-6668","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"86","Mungenast Alton Toyota","850 Homer Adams Pkwy","Alton","Madison","IL","62002","(618) 208-2400","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"87","Cummings Mobility Conversions & Supply, Inc","6540 Jansen Ave NE","Albertville","","MN","55301","(763) 497-0103","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"88","Rehabmart LLC","3651 Mars Hill Rd","Watkinsville","","GA","30677","(706) 213-1144 x1011","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"89","Absolute Fire Protection","5279 28th Ave","Rockford","Winnebago","IL","61109","(815) 397-6500","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"90","Greg's Tile Service, Inc.","338 N Oak St","Palatine","Cook","IL","60067","(847) 207-6806","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"91","Security Alarm Corp","1511 E MAIN ST","Salem","Marion","IL","62881","(618) 548-5768","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"92","FE Moran Security Solutions LLC","201 E. University Ave","Champaign","Champaign","IL","61820","(217) 403-6444","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"93","Rustic Wood Fencing","9116 N Milwaukee Ave","Niles","Cook","IL","60714","(847) 827-7456","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"94","Amazing Sensory Designs, LLC","6701 S Crandon Ave Apt 10A","Chicago","Cook","IL","60649","(773) 501-6796","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"95","Illini Fire Service, LLC","1600 N Oak St","Champaign","Champaign","IL","61820","(217) 531-1661","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"96","Moore Management Inc","3445 W Madison St","Chicago","Cook","IL","60624","(312) 296-4423","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"97","101 Mobility - Orland Park","11535 183rd Pl Ste 102","Orland Park","Will","IL","60467","(708) 968-1250","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"98","SimplyHome","48 Fisk Dr","Arden","","NC","28704","(877) 684-3581","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"99","Redfern Group Corp.","8223 W Irving Park Rd,","Chicago","Cook","IL","60634","(847) 962-1565","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"100","Sentry Security LLC","339 Egidi Dr","Wheeling","Cook","IL","60090","(847) 353-7200","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"101","HCI Marketing","4270 27th St","Moline","Rock Island","IL","61265","(309) 644-1727","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"102","Freedom Motors USA, Inc.","740 Watkins Rd","Battle Creek","","MI","49015","(269) 660-1002","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"103","Fire Equipment Sales and Service, Inc.","1902 Fox Dr Ste B","Champaign","Champaign","IL","61820","(217) 234-2777","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"104","Capitol Construction Solutions, Inc.","1050 State Route 126","Plainfield","Will","IL","60544","(630) 717-8349","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"105","Tycour","730 Madison Ave","Madison","Madison","IL","62060","(618) 910-8655","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"106","New Ability Inc","1005 Main St","Melrose Park","Cook","IL","60160","(708) 345-3939","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"107","Accessibility 101","7900 International Dr Ste 300","Minneapolis","","MN","55425","(612) 670-2928","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"108","Slip-Proof Safety Inc","320 Forest Ave","Willow Springs","Cook","IL","60480","(708) 839-4775","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"109","Ramp Now","2280 Cornell Ave","Montgomery","Kendall","IL","60538","(630) 892-7267","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"110","L & F Electric, Inc.","2125 Veterans Rd","Morton","Tazewell","IL","61550","(309) 263-1471","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"111","My Home For Life","1388 River Brook Ct","Charlottesville","","VA","29901","(434) 977-6435","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"112","Petre Construction","1016 Motherhead Rd","Saint Charles","","MO","63304","(636) 939-5919","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"113","Hutchison Medical","16561 N County Farm Ln","Mount Vernon,","Jefferson","IL","62864","(618) 237-6000","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"114","Health Services Consultants, Inc.","PO Box 3037","Champaign","Champaign","IL","61826","(217) 398-0105 x3255","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"115","MobilityWorks","4199 Kinross Lakes Pkwy Ste 300","Richfield","","OH","44286","(234) 312-2000","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"116","HEART TO HEART SERVICES INC","621 OLD FORGE RD","UNIVERSITY PARK","Will","IL","60466","708-534 6454","Adult Day Health Services"
"117","ACTIVE DAY IN, INC","6 Neshaminy Interplex, STE 401","Trevose","","PA","19053","215-642-6600","Adult Day Health Services"
"118","COMMUNITY ADULT DAY CENTER","4501 MAIN ST","DOWNERS GROVE","DuPage","IL","60515","630-968 1060","Adult Day Health Services"
"119","HUMAN RESOURCES OF EDGAR AND CLARK COUNTIES","PO Box 1118  753 E Court Street","Paris","Edgar","IL","61944","217-465-4118","Adult Day Health Services"
"120","PRESENCE LIFE CONNECTIONS","659 E Jefferson Street","Freeport","Stephenson","IL","61032","815-232-6181","Adult Day Health Services"
"121","ADVOCATE HEALTH AND HOSPITALS","2025 Windsor Drive","OAKBROOK","Cook","IL","60523","630-990 5192","Adult Day Health Services"
"122","EUROPEAN SERVICES AT HOME, INC","520 N Hicks Road","Palatine","Cook","IL","60067","847-202 1249","Adult Day Health Services"
"123","CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO","721 NORTH LASALLE","Chicago","Cook","IL","60654","312-655-7573","Adult Day Health Services"
"124","BEHAVIOR THERAPY SPECIALIST OF IL & MO","126 W SARAH AVE","ST. LOUIS","","MO","63122","(314) 252-2069","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"125","BROADSTEP ACADEMY-IL INC","701 W. Lamm Rd.","Freeport","Stephenson","IL","61032","(815) 233-6162","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"126","FUNDERBURG, DYNATA","Not Available","FLOSSMOOR","Cook","IL","60422","(708) 647-6426","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"127","NORTHERN IL BEHAVIORAL SERVICES","500 WEST SOUTH ST","FREEPORT","Stephenson","IL","61032","(815) 266-4239","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"128","KCCDD, INC.","2015 WINDISH DR","GALESBURG","Knox","IL","61401","(309) 344-2600","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"129","C L O PSYCHOLOGICAL SRV LTD","925 KILLARNEY DR","DYER","","IN","46311","(773) 618-2231","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"130","KREIDER SERVICES INC.","500 ANCHOR RD P O BOX 366","DIXON","Lee","IL","61021","(815) 288-6691","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"131","A STEP FORWARD INC.","5310 E WILLIAMS ST","DECATUR","Macon","IL","62521","(217) 422-6361","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"132","Smith, Verma","Not Available","Country Club Hills","Cook","IL","60478","(708) 510-7122","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"133","Herrera, Alexis","Not Available","Chicago","Cook","IL","60618","(847)772-0436","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"134","STUBNAR, HOLLY","Not Available","Chicago","Cook","IL","60614","(618) 201-1146","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"135","Chapman, Terrance","Not Available","Chicago","Cook","IL","60613","(832) 755-5521","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"136","SUPPORT SYSTEMS AND SERVICES INC","9510 St Clair Ave","FAIRVIEW HEIGHTS","St Clair","IL","62208","(618) 277-4100","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"137","CILA CORPORATION","832-C W NORTH AVE P.O. BOX 160","FLORA","Clay","IL","62839","(618) 662-8494","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"138","STREATOR UNLIMITED INC","305 N Sterling St PO Box 706","STREATOR","Livingston","IL","61364","(815) 673-5574","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"139","BEHAVIOR INTERVENTION & ORGANIZATIONAL SYSTEMS LLC dba BIOS ABA Consultants","828 HANNAH AVE","FOREST PARK","COOK","IL","60130","(708) 257-6074","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"140","BEHAVIORAL LEARNING LLC","1112 Elgin Ave","FOREST PARK","Cook","IL","60130","(312) 720-9473","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"141","PATHWAYS THERAPEUTIC SERVICES INC","15255 S 94TH AVE STE 500 PO BOX 1006","FRANKFORT","Will","IL","60423","(312) 342-0631","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"142","FOREST CITY BEHAVIOR AND DEVELOPMENT","9510 St Clair Ave","FAIRVIEW HEIGHTS","St Clair","IL","62208","(618) 277-4100","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"143","NORTHPOINTE RESOURCES INC","3441 SHERIDAN RD","ZION","LAKE","IL","60099","(847) 872-1700","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"144","HAWK PSYCHOLOGICAL SERVICES","7660 Gross Point Road","SKOKIE","Cook","IL","60077","(847) 967-1800","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"145","FRAKES, JENNIFER L","Not Available","SPRINGFIELD","Sangamon","IL","62702","(217) 588-8638","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"146","APOSTOLIC CHRISTIAN LIFEPOINTS, INC","2125 Veterans Road","Morton","Tazewell","IL","61550","(309) 266-9781","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"147","INSTRUCTIONAL ABA CONSULTANTS inc","1975 McDowell Road, #101","NAPERVILLE","DuPage","IL","60563","(331) 229-8839","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"148","PREMIERCARE CONSULTING LLC","1811 High Grove Lane, Suite 139, 1st Floor","NAPERVILLE","DuPage","IL","60540","(630) 579-4325","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"149","ROYAL LIVING CENTER, INC","200 SOUTH 9TH","NEW BADEN","Clinton","IL","62265","(618) 588-7295","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"150","TRINITY SERVICES INC","301 Veterans Parkway","NEW LENOX","Will","IL","60451","(815) 485-6197","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"151","MCALLISTER ANALYTICS INC","7836 N Nora Ave","NILES","Cook","IL","60714","(708) 915-0920","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"152","THE ARC OF THE QUAD CITIES AREA","4016 9th St","Rock Island","Rock Island","IL","61201","(309) 786-6474","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"153","MARCFIRST","1606 HUNT DRIVE","NORMAL","McLean","IL","61761","(309) 451-8888","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"154","COUNSELING SPECIAL NEEDS ADULTS","610 Academy Dr","NORTHBROOK","Cook","IL","60062","(847) 205-1234","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"155","KESHET","610 Academy Dr","NORTHBROOK","Cook","IL","60062","(847) 205-1234","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"156","FAMILIES BUILDING DREAMS","2970 MARIA AVE #211","NORTHBROOK","Cook","IL","60062","(847) 272-2222","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"157","PRECISION ABA LLC","2970 MARIA AVE #211","NORTHBROOK","Cook","IL","60062","(847) 272-2222","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"158","GLENKIRK","3504 COMMERCIAL AVE.","NORTHBROOK","Cook","IL","60062","(847) 272-5111","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"159","AURORA HOME CARE INC.","2970 Maria Ave Suite 210","NORTHBROOK","Cook","IL","60062","(847) 559-1222","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"160","PARK LAWN SCHOOL and ACTIVITY","10833 S LAPORTE AVE","OAK LAWN","Cook","IL","60453","(708) 425-3344","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"161","KRYSZAK, KELSEY","Not Available","OAK LAWN","Cook","IL","60453","(708) 663-6964","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"162","COPING TOGETHER SERVICES INC","15127 S 73RD AVE STE C","ORLAND PARK","Cook","IL","60462","(708) 586-9303","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"163","LifeSpeed Behavioral Support Services, LLC","721 South Blvd, Suite 210","Oak Park","Cook","IL","60302","(312) 404-7225","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"164","CTF ILLLINOIS","18230 Orland Parkway","Orland Park","Cook","IL","60467","(708) 429-1260","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"165","LITTLE CITY FOUNDATION","1760 W ALGONQUIN RD","PALATINE","Cook","IL","60067","(847) 358-5510","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"166","BETHSHAN ASSOCIATION","12927 S MONITOR AVE","PALOS HEIGHTS","Cook","IL","60463","(708) 371-0800","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"167","INDIVIDUAL ADVOCACY GROUP INC","1289 WINDHAM PARKWAY","ROMEOVILLE","Will","IL","60446","(630) 759-0201","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"168","FERN LEAF ABA, LLC","5739 W MARTINDALE LN,","PEORIA","Peoria","IL","61615","(309) 253-1683","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"169","GATEWAY SERVICES, INC.","406 S GOSSE BLVD","PRINCETON","Bureau","IL","61356","(815) 875-4548","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"170","EPIC","1913 W Townline Rd","Peoria","Peoria","IL","61615","(309) 691-3800","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"171","BETHESDA ABA","13550 S Route 30 Ste 200","Plainfield","Will","IL","5087","(815) 230-2111","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
